tsfTenantID,networkID,cidrBlock,userdefined_region
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,54.152.0.0/16,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,54.156.0.0/14,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,54.160.0.0/13,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,54.172.0.0/15,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,54.174.0.0/15,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,54.196.0.0/15,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,54.198.0.0/16,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,54.204.0.0/15,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,54.208.0.0/15,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,54.210.0.0/15,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,54.221.0.0/16,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,54.224.0.0/15,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,54.226.0.0/15,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,54.234.0.0/15,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,54.236.0.0/15,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,54.242.0.0/15,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,54.80.0.0/13,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,54.88.0.0/14,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,54.92.128.0/17,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,64.252.64.0/24,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,64.252.66.0/24,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,64.252.67.0/24,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,64.252.68.0/24,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,64.252.69.0/24,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,67.202.0.0/18,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,72.44.32.0/19,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,75.101.128.0/17,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,99.150.8.0/21,us-east-1
